"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-04-16","5051.41","5064.59","5079.84","5039.83","","-0.21%"
"2024-04-15","5061.82","5149.67","5168.43","5052.47","","-1.20%"
"2024-04-12","5123.40","5171.50","5175.00","5107.90","","-1.46%"
"2024-04-11","5199.10","5172.90","5211.80","5138.80","","0.75%"
"2024-04-10","5160.60","5167.90","5178.40","5138.70","","-0.95%"
"2024-04-09","5209.90","5217.00","5224.80","5160.80","","0.14%"
"2024-04-08","5202.40","5211.40","5219.60","5197.40","","-0.04%"
"2024-04-05","5204.30","5158.90","5222.20","5157.20","","1.11%"
"2024-04-04","5147.20","5244.10","5256.60","5146.10","","-1.23%"
"2024-04-03","5211.50","5194.40","5228.80","5194.40","","0.11%"
"2024-04-02","5205.80","5204.30","5208.30","5184.10","","-0.72%"
"2024-04-01","5243.80","5258.00","5263.90","5229.20","","-0.20%"
"2024-03-28","5254.40","5248.00","5264.90","5245.80","","0.11%"
"2024-03-27","5248.50","5226.30","5249.30","5213.90","","0.86%"
"2024-03-26","5203.60","5228.90","5235.20","5203.40","","-0.28%"
"2024-03-25","5218.20","5219.50","5229.10","5216.10","","-0.31%"
"2024-03-22","5234.20","5242.50","5246.10","5229.90","","-0.14%"
"2024-03-21","5241.50","5253.40","5261.10","5240.70","","0.32%"
"2024-03-20","5224.60","5181.70","5226.20","5171.60","","0.89%"
"2024-03-19","5178.50","5139.10","5180.30","5131.60","","0.57%"
"2024-03-18","5149.40","5154.80","5175.60","5145.50","","0.63%"
"2024-03-15","5117.10","5123.30","5136.90","5104.40","","-0.65%"
"2024-03-14","5150.50","5175.10","5176.90","5123.30","","-0.29%"
"2024-03-13","5165.30","5173.50","5179.10","5151.90","","-0.19%"
"2024-03-12","5175.30","5134.30","5179.90","5114.50","","1.12%"
"2024-03-11","5117.90","5112.00","5124.70","5091.10","","-0.11%"
"2024-03-08","5123.70","5164.50","5189.30","5117.50","","-0.65%"
"2024-03-07","5157.40","5132.40","5165.60","5128.20","","1.03%"
"2024-03-06","5104.80","5108.00","5128.00","5092.20","","0.52%"
"2024-03-05","5078.60","5110.50","5114.50","5056.80","","-1.02%"
"2024-03-04","5130.90","5131.00","5149.70","5127.20","","-0.12%"
"2024-03-01","5137.10","5098.50","5140.30","5094.20","","0.80%"
"2024-02-29","5096.30","5085.40","5105.00","5061.90","","0.52%"
"2024-02-28","5069.80","5067.20","5077.40","5058.40","","-0.17%"
"2024-02-27","5078.20","5074.60","5080.70","5057.30","","0.17%"
"2024-02-26","5069.50","5093.00","5097.70","5068.90","","-0.38%"
"2024-02-23","5088.80","5100.90","5111.10","5081.50","","0.04%"
"2024-02-22","5087.00","5038.80","5094.40","5038.80","","2.11%"
"2024-02-21","4981.80","4963.00","4983.20","4946.00","","0.13%"
"2024-02-20","4975.50","4989.30","4993.70","4955.00","","-0.60%"
"2024-02-16","5005.60","5031.10","5038.70","4999.50","","-0.48%"
"2024-02-15","5029.70","5003.10","5032.70","4999.40","","0.58%"
"2024-02-14","5000.60","4976.40","5002.50","4956.40","","0.96%"
"2024-02-13","4953.20","4967.90","4971.30","4920.30","","-1.37%"
"2024-02-12","5021.80","5026.80","5048.40","5016.80","","-0.10%"
"2024-02-09","5026.60","5004.20","5030.10","5000.30","","0.57%"
"2024-02-08","4997.90","4995.20","5000.40","4987.10","","0.06%"
"2024-02-07","4995.10","4973.10","4999.90","4969.10","","0.83%"
"2024-02-06","4954.20","4950.20","4957.80","4934.90","","0.23%"
"2024-02-05","4942.80","4957.20","4957.20","4918.10","","-0.32%"
"2024-02-02","4958.60","4916.10","4975.30","4908.00","","1.07%"
"2024-02-01","4906.20","4861.10","4907.00","4853.50","","1.25%"
"2024-01-31","4845.60","4899.20","4906.80","4845.10","","-1.61%"
"2024-01-30","4925.00","4925.90","4931.10","4916.30","","-0.06%"
"2024-01-29","4927.90","4892.90","4929.30","4887.40","","0.75%"
"2024-01-26","4891.00","4888.90","4906.70","4881.50","","-0.07%"
"2024-01-25","4894.20","4886.70","4898.10","4869.30","","0.53%"
"2024-01-24","4868.60","4888.60","4903.70","4865.90","","0.08%"
"2024-01-23","4864.60","4856.80","4866.50","4844.40","","0.29%"
"2024-01-22","4850.40","4853.40","4868.40","4844.10","","0.22%"
"2024-01-19","4839.80","4796.30","4842.10","4785.90","","1.23%"
"2024-01-18","4780.90","4760.10","4785.80","4740.60","","0.88%"
"2024-01-17","4739.20","4739.10","4744.20","4714.80","","-0.56%"
"2024-01-16","4766.00","4772.40","4782.30","4747.10","","-0.37%"
"2024-01-12","4783.80","4791.20","4802.40","4769.00","","0.08%"
"2024-01-11","4780.20","4792.10","4798.50","4739.60","","-0.07%"
"2024-01-10","4783.40","4759.90","4790.80","4756.20","","0.57%"
"2024-01-09","4756.50","4741.90","4765.50","4730.40","","-0.15%"
"2024-01-08","4763.50","4703.70","4764.50","4699.80","","1.41%"
"2024-01-05","4697.20","4690.60","4721.50","4682.10","","0.18%"
"2024-01-04","4688.70","4697.40","4726.80","4687.50","","-0.34%"
"2024-01-03","4704.80","4725.10","4729.30","4699.70","","-0.80%"
"2024-01-02","4742.80","4745.20","4754.30","4722.70","","-0.57%"
"2023-12-29","4769.80","4782.90","4788.40","4752.00","","-0.28%"
"2023-12-28","4783.40","4786.40","4793.30","4781.00","","0.04%"
"2023-12-27","4781.60","4773.40","4785.40","4768.90","","0.14%"
"2023-12-26","4774.80","4758.90","4784.70","4758.40","","0.42%"
"2023-12-22","4754.60","4753.90","4772.90","4736.80","","0.16%"
"2023-12-21","4746.80","4724.30","4748.70","4708.40","","1.03%"
"2023-12-20","4698.40","4764.70","4778.00","4697.80","","-1.47%"
"2023-12-19","4768.40","4743.70","4768.70","4743.70","","0.59%"
"2023-12-18","4740.60","4725.60","4749.50","4725.60","","0.45%"
"2023-12-15","4719.20","4714.20","4725.50","4704.70","","-0.01%"
"2023-12-14","4719.60","4721.00","4738.60","4694.30","","0.27%"
"2023-12-13","4707.10","4646.20","4709.70","4643.20","","1.37%"
"2023-12-12","4643.70","4618.30","4643.90","4608.10","","0.46%"
"2023-12-11","4622.40","4593.40","4623.70","4593.40","","0.39%"
"2023-12-08","4604.40","4576.20","4609.20","4574.10","","0.41%"
"2023-12-07","4585.60","4568.80","4590.90","4565.20","","0.80%"
"2023-12-06","4549.30","4586.20","4590.70","4546.50","","-0.39%"
"2023-12-05","4567.20","4557.20","4578.60","4551.70","","-0.06%"
"2023-12-04","4569.80","4564.40","4572.40","4546.70","","-0.54%"
"2023-12-01","4594.60","4559.40","4599.40","4554.70","","0.59%"
"2023-11-30","4567.80","4554.90","4569.90","4537.20","","0.38%"
"2023-11-29","4550.60","4571.80","4587.60","4547.10","","-0.09%"
"2023-11-28","4554.90","4545.60","4568.10","4540.50","","0.10%"
"2023-11-27","4550.40","4554.90","4560.50","4546.30","","-0.20%"
"2023-11-24","4559.30","4555.80","4560.30","4552.80","","0.06%"
"2023-11-22","4556.60","4553.00","4568.40","4545.10","","0.41%"
"2023-11-21","4538.20","4538.80","4542.10","4525.50","","-0.20%"
"2023-11-20","4547.40","4511.70","4557.10","4510.40","","0.74%"
"2023-11-17","4514.00","4509.60","4520.10","4499.70","","0.13%"
"2023-11-16","4508.20","4497.10","4512.00","4487.80","","0.12%"
"2023-11-15","4502.90","4505.30","4521.20","4495.30","","0.16%"
"2023-11-14","4495.70","4459.00","4508.70","4459.00","","1.91%"
"2023-11-13","4411.60","4406.70","4421.80","4393.80","","-0.08%"
"2023-11-10","4415.20","4364.10","4418.00","4353.30","","1.56%"
"2023-11-09","4347.40","4391.40","4393.40","4343.90","","-0.81%"
"2023-11-08","4382.80","4384.40","4391.20","4359.80","","0.10%"
"2023-11-07","4378.40","4366.20","4386.30","4355.40","","0.28%"
"2023-11-06","4366.00","4364.30","4372.20","4347.50","","0.18%"
"2023-11-03","4358.30","4334.20","4373.60","4334.20","","0.94%"
"2023-11-02","4317.80","4268.30","4319.70","4268.30","","1.89%"
"2023-11-01","4237.90","4201.30","4245.60","4197.70","","1.05%"
"2023-10-31","4193.80","4171.30","4195.60","4153.10","","0.65%"
"2023-10-30","4166.80","4139.40","4177.50","4132.90","","1.20%"
"2023-10-27","4117.40","4152.90","4156.70","4103.80","","-0.48%"
"2023-10-26","4137.20","4176.00","4183.60","4127.90","","-1.18%"
"2023-10-25","4186.80","4232.40","4232.40","4181.40","","-1.43%"
"2023-10-24","4247.70","4235.80","4259.40","4219.40","","0.73%"
"2023-10-23","4217.00","4210.40","4255.80","4189.20","","-0.17%"
"2023-10-20","4224.20","4273.90","4276.60","4223.00","","-1.26%"
"2023-10-19","4278.00","4321.40","4339.50","4269.70","","-0.85%"
"2023-10-18","4314.60","4357.40","4364.20","4303.80","","-1.34%"
"2023-10-17","4373.20","4345.20","4393.60","4337.50","","-0.01%"
"2023-10-16","4373.60","4342.40","4383.30","4342.40","","1.06%"
"2023-10-13","4327.80","4360.50","4377.10","4312.00","","-0.50%"
"2023-10-12","4349.60","4380.90","4385.90","4325.40","","-0.62%"
"2023-10-11","4376.90","4366.60","4378.60","4345.30","","0.43%"
"2023-10-10","4358.20","4339.80","4385.50","4339.60","","0.52%"
"2023-10-09","4335.70","4289.00","4341.70","4283.80","","0.63%"
"2023-10-06","4308.50","4234.80","4324.10","4219.60","","1.18%"
"2023-10-05","4258.20","4259.30","4267.10","4225.90","","-0.13%"
"2023-10-04","4263.80","4233.80","4268.50","4220.50","","0.81%"
"2023-10-03","4229.40","4269.80","4281.10","4216.40","","-1.38%"
"2023-10-02","4288.40","4284.50","4300.60","4260.20","","0.01%"
"2023-09-29","4288.10","4328.20","4333.10","4274.90","","-0.27%"
"2023-09-28","4299.70","4269.60","4317.30","4264.40","","0.59%"
"2023-09-27","4274.50","4282.60","4292.10","4238.60","","0.02%"
"2023-09-26","4273.50","4312.90","4313.00","4266.00","","-1.47%"
"2023-09-25","4337.40","4310.60","4338.50","4302.70","","0.40%"
"2023-09-22","4320.10","4341.70","4357.40","4316.50","","-0.23%"
