"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-04-17","2400.65","2398.85","2402.25","2388.95","","-0.30%"
"2024-04-16","2407.80","2399.10","2414.80","2379.20","297.59K","1.04%"
"2024-04-15","2383.00","2369.40","2404.30","2340.20","343.73K","0.37%"
"2024-04-12","2374.10","2389.40","2448.80","2350.60","479.89K","0.06%"
"2024-04-11","2372.70","2351.70","2395.60","2343.10","260.42K","1.03%"
"2024-04-10","2348.40","2372.40","2378.10","2337.10","353.85K","-0.59%"
"2024-04-09","2362.40","2358.10","2384.50","2355.70","279.61K","0.48%"
"2024-04-08","2351.00","2343.60","2372.50","2321.70","285.57K","0.24%"
"2024-04-05","2345.40","2309.50","2350.00","2286.20","293.21K","1.60%"
"2024-04-04","2308.50","2321.00","2325.30","2298.70","236.23K","-0.28%"
"2024-04-03","2315.00","2301.70","2321.80","2285.70","254.57K","1.45%"
"2024-04-02","2281.80","2272.70","2301.90","2267.10","277.23K","1.09%"
"2024-04-01","2257.10","2259.20","2286.40","2249.10","220.77K","0.10%"
"2024-03-29","2254.80","2254.80","2254.80","2254.80","","0.73%"
"2024-03-28","2238.40","2215.70","2256.90","2207.50","250.25K","1.16%"
"2024-03-27","2212.70","2200.50","2218.30","2193.70","191.46K","1.14%"
"2024-03-26","2187.80","2183.00","2210.70","2179.30","1.59K","0.05%"
"2024-03-25","2186.80","2177.50","2192.70","2175.00","0.96K","0.76%"
"2024-03-22","2170.20","2193.30","2198.00","2169.30","0.64K","-1.13%"
"2024-03-21","2195.00","2200.10","2231.30","2178.90","0.92K","1.11%"
"2024-03-20","2171.00","2171.30","2201.40","2164.20","0.66K","0.06%"
"2024-03-19","2169.80","2174.20","2175.00","2162.10","0.36K","-0.22%"
"2024-03-18","2174.50","2169.10","2176.00","2160.00","0.26K","0.13%"
"2024-03-15","2171.60","2175.50","2186.70","2169.40","0.21K","0.19%"
"2024-03-14","2167.50","2179.50","2181.30","2157.00","207.23K","-0.61%"
"2024-03-13","2180.80","2163.60","2185.60","2161.30","232.27K","0.68%"
"2024-03-12","2166.10","2189.10","2190.80","2156.20","316.25K","-1.03%"
"2024-03-11","2188.60","2187.60","2195.50","2180.90","242.42K","0.14%"
"2024-03-08","2185.50","2166.60","2203.00","2161.20","389.68K","0.94%"
"2024-03-07","2165.20","2156.70","2172.20","2151.70","267.80K","0.32%"
"2024-03-06","2158.20","2136.40","2160.70","2131.90","319.76K","0.76%"
"2024-03-05","2141.90","2123.30","2150.50","2118.50","283.15K","0.73%"
"2024-03-04","2126.30","2091.60","2128.40","2088.10","328.25K","1.46%"
"2024-03-01","2095.70","2052.80","2097.10","2047.00","330.59K","2.00%"
"2024-02-29","2054.70","2043.80","2059.40","2036.00","227.07K","0.59%"
"2024-02-28","2042.70","2039.70","2047.40","2033.40","137.08K","0.41%"
"2024-02-27","2034.40","2031.00","2038.00","2028.70","0.96K","0.26%"
"2024-02-26","2029.10","2033.70","2036.30","2025.00","1.14K","-0.51%"
"2024-02-23","2039.40","2024.10","2041.50","2015.60","0.71K","0.43%"
"2024-02-22","2030.70","2036.50","2045.50","2029.30","147.95K","-0.18%"
"2024-02-21","2034.30","2036.20","2043.50","2030.90","120.60K","-0.27%"
"2024-02-20","2039.80","2027.70","2042.70","2023.90","202.43K","0.61%"
"2024-02-19","2027.50","2025.70","2034.30","2024.65","","0.17%"
"2024-02-16","2024.10","2016.10","2027.20","2006.60","162.36K","0.46%"
"2024-02-15","2014.90","2004.80","2020.20","2001.80","204.25K","0.38%"
"2024-02-13","2007.20","2033.70","2047.30","2002.80","217.57K","-1.27%"
"2024-02-12","2033.00","2038.20","2041.80","2025.40","116.03K","-0.28%"
"2024-02-09","2038.70","2049.70","2051.90","2034.30","116.03K","-0.45%"
"2024-02-08","2047.90","2051.00","2053.80","2034.60","137.08K","-0.19%"
"2024-02-07","2051.70","2052.60","2061.30","2046.40","125.63K","0.01%"
"2024-02-06","2051.40","2041.40","2055.30","2038.80","126.38K","0.42%"
"2024-02-05","2042.90","2057.90","2059.10","2030.80","170.43K","-0.53%"
"2024-02-02","2053.70","2072.00","2074.70","2044.20","219.80K","-0.84%"
"2024-02-01","2071.10","2057.90","2083.20","2046.40","260.92K","0.18%"
"2024-01-31","2067.40","2055.30","2074.60","2048.80","238.37K","0.80%"
"2024-01-30","2050.90","2051.50","2068.00","2047.10","214.59K","0.79%"
"2024-01-29","2034.90","2035.80","2046.50","2028.20","1.78K","0.41%"
"2024-01-26","2026.60","2028.90","2035.70","2025.40","0.41K","-0.02%"
"2024-01-25","2027.10","2025.40","2034.00","2017.00","0.46K","0.08%"
"2024-01-24","2025.40","2039.40","2046.20","2021.90","0.80K","-0.48%"
"2024-01-23","2035.20","2032.80","2045.40","2031.50","0.37K","0.18%"
"2024-01-22","2031.50","2040.40","2043.00","2027.40","0.33K","-0.34%"
"2024-01-19","2038.50","2033.70","2050.10","2031.80","0.30K","0.36%"
"2024-01-18","2031.10","2021.30","2034.20","2017.50","0.35K","0.75%"
"2024-01-17","2015.90","2040.80","2041.00","2014.60","0.18K","-1.17%"
"2024-01-16","2039.70","2060.00","2069.70","2037.50","0.48K","-0.88%"
"2024-01-15","2057.85","2051.30","2062.50","2049.50","","-0.16%"
"2024-01-12","2061.10","2045.00","2075.80","2044.20","0.56K","1.59%"
"2024-01-11","2028.90","2039.40","2060.10","2027.40","0.36K","-0.42%"
"2024-01-10","2037.50","2046.20","2052.00","2036.40","0.13K","0.22%"
"2024-01-09","2033.00","2034.50","2048.60","2031.90","218.75K","-0.02%"
"2024-01-08","2033.50","2052.60","2053.30","2022.70","220.99K","-0.80%"
